,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year
408,Mario Mandzukic,Centre-Forward,33,10000000,Italy,Serie A,Juventus FC,Qatar,Stars League,Al-Duhail SC,free transfer,2019
409,Antonin Barak,Attacking Midfield,25,10000000,Italy,Serie A,Udinese Calcio,Italy,Serie A,US Lecce,loan transfer,2019
410,Kyle Walker-Peters,Right-Back,22,10000000,England,Premier League,Tottenham Hotspur,England,Premier League,Southampton FC,loan transfer,2019
411,Marcos Rojo,Centre-Back,29,10000000,England,Premier League,Manchester United,Argentina,Copa Maradona,Club Estudiantes de La Plata,loan transfer,2019
412,Bryan Gil,Left Winger,18,10000000,Spain,LaLiga,Sevilla FC,Spain,LaLiga,CD Leganés,loan transfer,2019
413,Cédric Soares,Right-Back,28,10000000,England,Premier League,Southampton FC,England,Premier League,Arsenal FC,loan transfer,2019
414,Adama Soumaoro,Centre-Back,27,10000000,France,Ligue 1,LOSC Lille,Italy,Serie A,Genoa CFC,loan transfer,2019
415,Sofyan Amrabat,Defensive Midfield,23,10000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Hellas Verona,loan transfer,2019
416,Jürgen Locadia,Centre-Forward,26,10000000,England,Premier League,Brighton & Hove Albion,United States,MLS,FC Cincinnati,loan transfer,2019
417,Uriel Antuna,Right Winger,22,3000000,England,Premier League 2,Manchester City U23,Mexico,Liga MX Clausura,Deportivo Guadalajara,9000000,2019
418,Fernando,Defensive Midfield,27,9000000,Russia,Premier Liga,Spartak Moscow,China,Super League,Beijing Guoan,9000000,2019
419,André Carrillo,Right Winger,28,7000000,Portugal,Liga NOS,SL Benfica,Saudi Arabia,Saudi Pro League,Al-Hilal Saudi FC,9000000,2019
420,Mateus Uribe,Defensive Midfield,28,7000000,Mexico,Liga MX Clausura,CF América,Portugal,Liga NOS,FC Porto,9000000,2019
421,Alberto Cerri,Centre-Forward,23,6000000,Italy,Serie A,Juventus FC,Italy,Serie A,Cagliari Calcio,9000000,2019
422,Anwar El Ghazi,Right Winger,24,7000000,France,Ligue 1,LOSC Lille,England,Premier League,Aston Villa,9000000,2019
423,Tomas Kalas,Centre-Back,26,4000000,England,Premier League,Chelsea FC,England,Championship,Bristol City,9000000,2019
424,Youssouf Koné,Left-Back,23,5000000,France,Ligue 1,LOSC Lille,France,Ligue 1,Olympique Lyon,9000000,2019
425,Flavien Tait,Central Midfield,26,8000000,France,Ligue 1,Angers SCO,France,Ligue 1,Stade Rennais FC,9000000,2019
426,Marcus Thuram,Centre-Forward,21,9000000,France,Ligue 2,EA Guingamp,Germany,Bundesliga,Borussia Mönchengladbach,9000000,2019
427,Vincent Janssen,Centre-Forward,25,8000000,England,Premier League,Tottenham Hotspur,Mexico,Liga MX Clausura,CF Monterrey,9000000,2019
428,Nicolás López,Centre-Forward,26,3000000,Brazil,Série A,Sport Club Internacional,Mexico,Liga MX Clausura,Tigres UANL,9000000,2019
429,Marin Pongracic,Centre-Back,22,6000000,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,VfL Wolfsburg,9000000,2019
430,Chicharito,Centre-Forward,31,9000000,Spain,LaLiga,Sevilla FC,United States,MLS,Los Angeles Galaxy,8000000,2019
431,Giovanni Di Lorenzo,Right-Back,25,9000000,Italy,Serie B,Empoli FC ,Italy,Serie A,SSC Napoli,8000000,2019
432,Edouard Mendy,Goalkeeper,27,9000000,France,Ligue 1,Stade Reims,France,Ligue 1,Stade Rennais FC,7000000,2019
433,Takehiro Tomiyasu,Right-Back,20,9000000,Belgium,Jupiler Pro League,Sint-Truidense VV,Italy,Serie A,Bologna FC 1909,7000000,2019
434,Vincenzo Grifo,Left Winger,26,9000000,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,SC Freiburg,7000000,2019
435,Mbaye Diagne,Centre-Forward,27,9000000,Turkey,Süper Lig,Galatasaray,Belgium,Jupiler Pro League,Club Brugge KV,1000000,2019
436,Sebastian Rudy,Defensive Midfield,29,9000000,Germany,Bundesliga,FC Schalke 04,Germany,Bundesliga,TSG 1899 Hoffenheim,850k,2019
437,Milan Badelj,Defensive Midfield,30,9000000,Italy,Serie A,SS Lazio,Italy,Serie A,ACF Fiorentina,700k,2019
438,Fedor Smolov,Centre-Forward,29,9000000,Russia,Premier Liga,Lokomotiv Moscow,Spain,LaLiga,Celta de Vigo,700k,2019
439,Alberto Moreno,Left-Back,27,9000000,England,Premier League,Liverpool FC,Spain,LaLiga,Villarreal CF,free transfer,2019
440,Jonathan Calleri,Centre-Forward,25,9000000,Uruguay,Liga de Ascenso,Club Deportivo Maldonado,Spain,LaLiga,RCD Espanyol Barcelona,loan transfer,2019
441,Jonathan Viera,Attacking Midfield,29,9000000,China,Super League,Beijing Guoan,Spain,LaLiga SmartBank,UD Las Palmas,loan transfer,2019
442,Panagiotis Retsos,Centre-Back,21,9000000,Germany,Bundesliga,Bayer 04 Leverkusen,England,Premier League,Sheffield United,loan transfer,2019
443,Filip Benkovic,Centre-Back,22,9000000,England,Premier League,Leicester City,England,Championship,Bristol City,loan transfer,2019
444,Kenneth Zohore,Centre-Forward,25,7000000,Wales,Championship,Cardiff City,England,Championship,West Bromwich Albion,8000000,2019
445,Bruno Jordão,Central Midfield,20,1000000,Italy,Serie A,SS Lazio,England,Premier League,Wolverhampton Wanderers,8000000,2019
446,Arvin Appiah,Right Winger,18,250k,England,Championship,Nottingham Forest,Spain,LaLiga SmartBank,UD Almería,8000000,2019
447,Tom Heaton,Goalkeeper,33,3000000,England,Premier League,Burnley FC,England,Premier League,Aston Villa,8000000,2019
448,Alan Pulido,Centre-Forward,28,4000000,Mexico,Liga MX Clausura,Deportivo Guadalajara,United States,MLS,Sporting Kansas City,8000000,2019
449,Rade Krunic,Central Midfield,25,8000000,Italy,Serie B,Empoli FC ,Italy,Serie A,AC Milan,8000000,2019
450,Dominik Kohr,Central Midfield,25,4000000,Germany,Bundesliga,Bayer 04 Leverkusen,Germany,Bundesliga,Eintracht Frankfurt,8000000,2019
451,Ignacio Pussetto,Right Winger,24,8000000,Italy,Serie A,Udinese Calcio,England,Premier League,Watford FC,8000000,2019
452,Walace,Defensive Midfield,24,8000000,Germany,2. Bundesliga,Hannover 96,Italy,Serie A,Udinese Calcio,6000000,2019
453,Victor Moses,Right Midfield,29,8000000,England,Premier League,Chelsea FC,Italy,Serie A,Inter Milan,216k,2019
454,Badou Ndiaye,Central Midfield,29,8000000,England,Championship,Stoke City,Turkey,Süper Lig,Trabzonspor,176k,2019
455,Ramires,Central Midfield,32,8000000,China,Super League,Jiangsu Suning,Brazil,Série A,Sociedade Esportiva Palmeiras,free transfer,2019
456,Riccardo Saponara,Attacking Midfield,27,8000000,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Genoa CFC,loan transfer,2019
457,Yannick Cotter,Left Winger,18,250k,Switzerland,Promotion League,FC Sion U21,Italy,Primavera 1,Juventus Primavera,8000000,2019
458,Sebastiaan Bornauw,Centre-Back,20,4000000,Belgium,Jupiler Pro League,RSC Anderlecht,Germany,Bundesliga,1. FC Köln,8000000,2019
459,Krystian Bielik,Defensive Midfield,21,2000000,England,Premier League,Arsenal FC,England,Championship,Derby County,8000000,2019
460,Alejandro Marqués,Centre-Forward,19,300k,Spain,2ª B - Grupo III,FC Barcelona B,Italy,Serie C-A,Juventus U23,8000000,2019
461,Matías Pellegrini,Left Winger,19,1000000,Argentina,Superliga,Club Estudiantes de La Plata,United States,Without League,Inter Miami CF,8000000,2019
462,David Okereke,Centre-Forward,21,6000000,Italy,Serie B,Spezia Calcio,Belgium,Jupiler Pro League,Club Brugge KV,8000000,2019
463,Luan Cândido,Left-Back,18,4000000,Brazil,Série A,Sociedade Esportiva Palmeiras,Germany,Bundesliga,RB Leipzig,8000000,2019
464,Nicola Sansone,Left Winger,27,7000000,Spain,LaLiga,Villarreal CF,Italy,Serie A,Bologna FC 1909,8000000,2019
465,Roberto Soriano,Attacking Midfield,28,7000000,Spain,LaLiga,Villarreal CF,Italy,Serie A,Bologna FC 1909,8000000,2019
466,Juanmi,Left Winger,26,8000000,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Real Betis Balompié,8000000,2019
467,Jean Lucas,Central Midfield,21,1000000,Brazil,Série A,CR Flamengo,France,Ligue 1,Olympique Lyon,8000000,2019
468,Christopher Jullien,Centre-Back,26,6000000,France,Ligue 1,FC Toulouse,Scotland,Premiership,Celtic FC,8000000,2019
469,Joseph Aidoo,Centre-Back,23,4000000,Belgium,Jupiler Pro League,KRC Genk,Spain,LaLiga,Celta de Vigo,8000000,2019
470,Björn Engels,Centre-Back,24,6000000,France,Ligue 1,Stade Reims,England,Premier League,Aston Villa,8000000,2019
471,Ivan Sunjic,Defensive Midfield,22,3000000,Croatia,SuperSport HNL,GNK Dinamo Zagreb,England,Championship,Birmingham City,8000000,2019
472,Wesley Saïd,Centre-Forward,24,6000000,France,Ligue 1,Dijon FCO,France,Ligue 1,FC Toulouse,8000000,2019
473,Han-Noah Massengo,Central Midfield,18,2000000,Monaco,National 2 - Grp. D,AS Monaco B,England,Championship,Bristol City,8000000,2019
474,Ruben Aguilar,Right-Back,26,8000000,France,Ligue 1,Montpellier HSC,Monaco,Ligue 1,AS Monaco,8000000,2019
475,St. Juste,Centre-Back,22,7000000,Netherlands,Eredivisie,Feyenoord Rotterdam,Germany,Bundesliga,1.FSV Mainz 05,8000000,2019
476,Silas,Right Winger,20,3000000,France,Ligue 2,Paris FC,Germany,2. Bundesliga,VfB Stuttgart,8000000,2019
477,Ramy Bensebaini,Left-Back,24,8000000,France,Ligue 1,Stade Rennais FC,Germany,Bundesliga,Borussia Mönchengladbach,8000000,2019
478,Michaël Cuisance,Central Midfield,20,5000000,Germany,Bundesliga,Borussia Mönchengladbach,Germany,Bundesliga,Bayern Munich,8000000,2019
479,Vyacheslav Karavaev,Right-Back,24,3000000,Netherlands,Eredivisie,Vitesse Arnhem,Russia,Premier Liga,Zenit St. Petersburg,8000000,2019
480,Ludovic Blas,Attacking Midfield,21,5000000,France,Ligue 2,EA Guingamp,France,Ligue 1,FC Nantes,8000000,2019
481,Pablo Marí,Centre-Back,26,1000000,Brazil,Série A,CR Flamengo,England,Premier League,Arsenal FC,8000000,2019
482,Erick Cabaco,Centre-Back,24,2000000,Spain,LaLiga,Levante UD,Spain,LaLiga,Getafe CF,8000000,2019
483,Edimilson Fernandes,Central Midfield,23,8000000,England,Premier League,West Ham United,Germany,Bundesliga,1.FSV Mainz 05,7000000,2019
484,Simon Mignolet,Goalkeeper,31,8000000,England,Premier League,Liverpool FC,Belgium,Jupiler Pro League,Club Brugge KV,7000000,2019
485,Michel Vlap,Attacking Midfield,22,8000000,Netherlands,Eredivisie,SC Heerenveen,Belgium,Jupiler Pro League,RSC Anderlecht,6000000,2019
486,Niclas Füllkrug,Centre-Forward,26,8000000,Germany,2. Bundesliga,Hannover 96,Germany,Bundesliga,SV Werder Bremen,6000000,2019
487,Andreas Skov Olsen,Right Midfield,19,8000000,Denmark,Superligaen Championship round,FC Nordsjaelland,Italy,Serie A,Bologna FC 1909,6000000,2019
488,Valentin Rosier,Right-Back,22,8000000,France,Ligue 1,Dijon FCO,Portugal,Liga NOS,Sporting CP,5000000,2019
489,Martin Braithwaite,Centre-Forward,28,8000000,England,Championship,Middlesbrough FC,Spain,LaLiga,CD Leganés,5000000,2019
490,Laurent Koscielny,Centre-Back,33,8000000,England,Premier League,Arsenal FC,France,Ligue 1,FC Girondins Bordeaux,5000000,2019
491,Luan,Attacking Midfield,26,8000000,Brazil,Série A,Grêmio Foot-Ball Porto Alegrense,Brazil,Série A,Sport Club Corinthians Paulista,5000000,2019
492,Alexander Djiku,Centre-Back,24,8000000,France,Ligue 2,SM Caen,France,Ligue 1,RC Strasbourg Alsace,4000000,2019
493,Anthony Knockaert,Right Winger,27,8000000,England,Premier League,Brighton & Hove Albion,England,Championship,Fulham FC,4000000,2019
494,Charlie Austin,Centre-Forward,30,8000000,England,Premier League,Southampton FC,England,Championship,West Bromwich Albion,4000000,2019
495,Kevin Danso,Centre-Back,20,8000000,Germany,Bundesliga,FC Augsburg,England,Premier League,Southampton FC,4000000,2019
496,Paulo Díaz,Centre-Back,24,8000000,Saudi Arabia,Saudi Pro League,Al-Ahli Saudi FC,Argentina,Superliga,CA River Plate,3000000,2019
497,Jordan Ayew,Centre-Forward,27,8000000,Wales,Championship,Swansea City,England,Premier League,Crystal Palace,2000000,2019
498,Gianluca Caprari,Second Striker,26,8000000,Italy,Serie A,UC Sampdoria,Italy,Serie A,Parma Calcio 1913,2000000,2019
499,Marius Wolf,Right-Back,24,8000000,Germany,Bundesliga,Borussia Dortmund,Germany,Bundesliga,Hertha BSC,2000000,2019
500,Khouma Babacar,Centre-Forward,26,8000000,Italy,Serie A,US Sassuolo,Italy,Serie A,US Lecce,1000000,2019
501,Jeison Murillo,Centre-Back,27,8000000,Italy,Serie A,UC Sampdoria,Spain,LaLiga,Celta de Vigo,1000000,2019
502,Emiliano Rigoni,Right Winger,26,8000000,Russia,Premier Liga,Zenit St. Petersburg,Italy,Serie A,UC Sampdoria,500k,2019
503,Nacho Monreal,Left-Back,33,8000000,England,Premier League,Arsenal FC,Spain,LaLiga,Real Sociedad,250k,2019
504,Gary Cahill,Centre-Back,33,8000000,England,Premier League,Chelsea FC,England,Premier League,Crystal Palace,free transfer,2019
505,Vincent Kompany,Centre-Back,33,8000000,England,Premier League,Manchester City,Belgium,Jupiler Pro League,RSC Anderlecht,free transfer,2019
506,Andy Carroll,Centre-Forward,30,8000000,England,Premier League,West Ham United,England,Premier League,Newcastle United,free transfer,2019
507,Álvaro González,Centre-Back,29,8000000,Spain,LaLiga,Villarreal CF,France,Ligue 1,Olympique Marseille,loan transfer,2019
508,Eddie Nketiah,Centre-Forward,20,8000000,England,Premier League,Arsenal FC,England,Championship,Leeds United,loan transfer,2019
509,Benik Afobe,Centre-Forward,26,8000000,England,Championship,Stoke City,England,Championship,Bristol City,loan transfer,2019
510,Danny Drinkwater,Central Midfield,29,8000000,England,Premier League,Chelsea FC,England,Premier League,Burnley FC,loan transfer,2019
511,Nacer Chadli,Left Winger,30,8000000,Monaco,Ligue 1,AS Monaco,Belgium,Jupiler Pro League,RSC Anderlecht,loan transfer,2019
512,Fraser Forster,Goalkeeper,31,8000000,England,Premier League,Southampton FC,Scotland,Premiership,Celtic FC,loan transfer,2019
513,Mohamed Elneny,Defensive Midfield,27,8000000,England,Premier League,Arsenal FC,Turkey,Süper Lig,Besiktas JK,loan transfer,2019
514,Simon Kjaer,Centre-Back,30,8000000,Spain,LaLiga,Sevilla FC,Italy,Serie A,Atalanta BC,loan transfer,2019
515,Rachid Ghezzal,Right Winger,27,8000000,England,Premier League,Leicester City,Italy,Serie A,ACF Fiorentina,loan transfer,2019
516,Strahinja Pavlovic,Centre-Back,18,8000000,Monaco,Ligue 1,AS Monaco,Serbia,Super liga,FK Partizan Belgrade,loan transfer,2019
517,Jeroen Zoet,Goalkeeper,29,8000000,Netherlands,Eredivisie,PSV Eindhoven,Netherlands,Eredivisie,FC Utrecht,loan transfer,2019
518,Adama Diakhaby,Left Winger,23,8000000,England,Championship,Huddersfield Town,England,Championship,Nottingham Forest,loan transfer,2019
519,Callum Robinson,Centre-Forward,24,4000000,England,Championship,Preston North End,England,Premier League,Sheffield United,7000000,2019
520,Francesco Caputo,Centre-Forward,31,4000000,Italy,Serie B,Empoli FC ,Italy,Serie A,US Sassuolo,7000000,2019
521,Agustín Marchesín,Goalkeeper,31,4000000,Mexico,Liga MX Clausura,CF América,Portugal,Liga NOS,FC Porto,7000000,2019
522,Morato,Centre-Back,18,50k,Brazil,Série A,São Paulo Futebol Clube,Portugal,LigaPro,SL Benfica B,7000000,2019
523,Mamadou Loum,Defensive Midfield,22,5000000,Portugal,Liga NOS,SC Braga,Portugal,Liga NOS,FC Porto,7000000,2019
524,Pedro Obiang,Central Midfield,27,7000000,England,Premier League,West Ham United,Italy,Serie A,US Sassuolo,7000000,2019
525,Tomas Koubek,Goalkeeper,26,6000000,France,Ligue 1,Stade Rennais FC,Germany,Bundesliga,FC Augsburg,7000000,2019
526,George Puscas,Centre-Forward,23,3000000,Italy,Serie A,Inter Milan,England,Championship,Reading FC,7000000,2019
527,Javi Ontiveros,Left Winger,21,6000000,Spain,LaLiga SmartBank,Málaga CF,Spain,LaLiga,Villarreal CF,7000000,2019
528,Michael,Left Winger,23,2000000,Brazil,Série A,Goiás Esporte Clube,Brazil,Série A,CR Flamengo,7000000,2019
529,Ivan Ignatjev,Centre-Forward,20,7000000,Russia,Premier Liga,FK Krasnodar,Russia,Premier Liga,Rubin Kazan,7000000,2019
530,Dawid Kownacki,Centre-Forward,22,7000000,Italy,Serie A,UC Sampdoria,Germany,Bundesliga,Fortuna Düsseldorf,6000000,2019
531,Vitor Hugo,Centre-Back,28,7000000,Italy,Serie A,ACF Fiorentina,Brazil,Série A,Sociedade Esportiva Palmeiras,5000000,2019
532,Christian Luyindama,Centre-Back,25,7000000,Belgium,Jupiler Pro League,Standard Liège,Turkey,Süper Lig,Galatasaray,5000000,2019
533,Gil,Centre-Back,32,7000000,China,Super League,Shandong Luneng Taishan,Brazil,Série A,Sport Club Corinthians Paulista,free transfer,2019
534,Garry Rodrigues,Left Winger,28,7000000,Saudi Arabia,Saudi Pro League,Al-Ittihad Club (Jeddah),Turkey,Süper Lig,Fenerbahce,loan transfer,2019
535,Tin Jedvaj,Centre-Back,23,7000000,Germany,Bundesliga,Bayer 04 Leverkusen,Germany,Bundesliga,FC Augsburg,loan transfer,2019
536,Robin Olsen,Goalkeeper,29,7000000,Italy,Serie A,AS Roma,Italy,Serie A,Cagliari Calcio,loan transfer,2019
537,Guido Carrillo,Centre-Forward,28,7000000,England,Premier League,Southampton FC,Spain,LaLiga,CD Leganés,loan transfer,2019
538,Marko Pjaca,Left Winger,24,7000000,Italy,Serie A,Juventus FC,Belgium,Jupiler Pro League,RSC Anderlecht,loan transfer,2019
539,Roger Assalé,Centre-Forward,26,7000000,Switzerland,Super League,BSC Young Boys,Spain,LaLiga,CD Leganés,loan transfer,2019
540,Moussa Wagué,Right-Back,21,7000000,Spain,LaLiga,FC Barcelona,France,Ligue 1,OGC Nice,loan transfer,2019
541,Gustavo Cuéllar,Defensive Midfield,26,3000000,Brazil,Série A,CR Flamengo,Saudi Arabia,Saudi Pro League,Al-Hilal Saudi FC,7000000,2019
542,Lucas Zelarayán,Attacking Midfield,27,4000000,Mexico,Liga MX Clausura,Tigres UANL,United States,MLS,Columbus Crew SC,7000000,2019
543,Luis Díaz,Left Winger,22,2000000,Colombia,Liga DIMAYOR II,Junior FC,Portugal,Liga NOS,FC Porto,7000000,2019
544,Ryan Kent,Left Winger,22,1000000,England,Premier League,Liverpool FC,Scotland,Premiership,Rangers FC,7000000,2019
545,Jesús Angulo,Attacking Midfield,22,1000000,Mexico,Liga MX Clausura,Club Necaxa,Mexico,Liga MX Clausura,Deportivo Guadalajara,7000000,2019
546,Cristian Calderón,Left-Back,22,2000000,Mexico,Liga MX Clausura,Club Necaxa,Mexico,Liga MX Clausura,Deportivo Guadalajara,7000000,2019
547,Aké Loba,Centre-Forward,21,1000000,Peru,Liga 1 Clausura,Universidad San Martín de Porres,Mexico,Liga MX Clausura,CF Monterrey,7000000,2019
548,Gabriel Martinelli,Left Winger,18,-,Brazil,Without League,Ituano Futebol Clube (SP),England,Premier League,Arsenal FC,7000000,2019
549,Andrea Favilli,Centre-Forward,22,6000000,Italy,Serie A,Juventus FC,Italy,Serie A,Genoa CFC,7000000,2019
550,Lisandro Martínez,Centre-Back,21,6000000,Argentina,Superliga,Defensa y Justicia,Netherlands,Eredivisie,Ajax Amsterdam,7000000,2019
551,Eduard Löwen,Central Midfield,22,7000000,Germany,2. Bundesliga,1.FC Nuremberg,Germany,Bundesliga,Hertha BSC,7000000,2019
552,Théo Bongonda,Right Winger,23,6000000,Belgium,Jupiler Pro League,SV Zulte Waregem,Belgium,Jupiler Pro League,KRC Genk,7000000,2019
553,Alessandro Russo,Goalkeeper,18,-,Italy,Serie A,Genoa CFC,Italy,Serie A,US Sassuolo,7000000,2019
554,Marcos Senesi,Centre-Back,22,7000000,Argentina,Superliga,CA San Lorenzo de Almagro,Netherlands,Eredivisie,Feyenoord Rotterdam,7000000,2019
555,Kwang-song Han,Centre-Forward,21,3000000,Italy,Serie C-A,Juventus U23,Qatar,Stars League,Al-Duhail SC,7000000,2019
556,Léo Pereira,Centre-Back,23,2000000,Brazil,Série A,Club Athletico Paranaense,Brazil,Série A,CR Flamengo,7000000,2019
557,Radoslaw Majecki,Goalkeeper,20,5000000,Poland,Ekstraklasa,Legia Warszawa,Monaco,Ligue 1,AS Monaco,7000000,2019
558,Matheus Fernandes,Defensive Midfield,21,3000000,Brazil,Série A,Sociedade Esportiva Palmeiras,Spain,LaLiga,FC Barcelona,7000000,2019
559,Landry Dimata,Centre-Forward,21,7000000,Germany,Bundesliga,VfL Wolfsburg,Belgium,Jupiler Pro League,RSC Anderlecht,5000000,2019
560,Naïm Sliti,Left Winger,27,7000000,France,Ligue 1,Dijon FCO,Saudi Arabia,Saudi Pro League,Ettifaq FC,5000000,2019
561,Aden Flint,Centre-Back,30,7000000,England,Championship,Middlesbrough FC,Wales,Championship,Cardiff City,4000000,2019
562,Alexis Saelemaekers,Right Winger,20,7000000,Belgium,Jupiler Pro League,RSC Anderlecht,Italy,Serie A,AC Milan,3000000,2019
563,Víctor Ruiz,Centre-Back,30,7000000,Spain,LaLiga,Villarreal CF,Turkey,Süper Lig,Besiktas JK,2000000,2019
564,Rodrigo Becão,Centre-Back,23,7000000,Brazil,Série A,Esporte Clube Bahia,Italy,Serie A,Udinese Calcio,1000000,2019
565,Kevin-Prince Boateng,Attacking Midfield,32,7000000,Italy,Serie A,US Sassuolo,Italy,Serie A,ACF Fiorentina,1000000,2019
566,Konstantinos Mitroglou,Centre-Forward,31,7000000,Turkey,Süper Lig,Galatasaray,Netherlands,Eredivisie,PSV Eindhoven,1000000,2019
567,Leonardo Bittencourt,Attacking Midfield,25,7000000,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,SV Werder Bremen,600k,2019
568,Pape Cheikh,Central Midfield,22,7000000,France,Ligue 1,Olympique Lyon,Spain,LaLiga,Celta de Vigo,500k,2019
569,Michael Gregoritsch,Centre-Forward,25,7000000,Germany,Bundesliga,FC Augsburg,Germany,Bundesliga,FC Schalke 04,500k,2019
570,Mauricio Pereyra,Attacking Midfield,29,7000000,Russia,Premier Liga,FK Krasnodar,United States,MLS,Orlando City SC,free transfer,2019
571,Antonio Barreca,Left-Back,24,7000000,Monaco,Ligue 1,AS Monaco,Italy,Serie A,Genoa CFC,loan transfer,2019
572,Jean-Eudes Aholou,Defensive Midfield,25,7000000,Monaco,Ligue 1,AS Monaco,France,Ligue 1,AS Saint-Étienne,loan transfer,2019
573,Harry Arter,Central Midfield,29,7000000,England,Premier League,AFC Bournemouth,England,Championship,Fulham FC,loan transfer,2019
574,Ibrahim Amadou,Defensive Midfield,26,7000000,Spain,LaLiga,Sevilla FC,England,Premier League,Norwich City,loan transfer,2019
575,Jean-Eudes Aholou,Defensive Midfield,25,7000000,Monaco,Ligue 1,AS Monaco,France,Ligue 1,AS Saint-Étienne,loan transfer,2019
576,Harry Arter,Central Midfield,29,7000000,England,Premier League,AFC Bournemouth,England,Championship,Fulham FC,loan transfer,2019
577,Callum Robinson,Centre-Forward,24,7000000,England,Premier League,Sheffield United,England,Championship,West Bromwich Albion,loan transfer,2019
578,Ibrahim Amadou,Defensive Midfield,26,7000000,Spain,LaLiga,Sevilla FC,England,Premier League,Norwich City,loan transfer,2019
579,Ibrahim Amadou,Defensive Midfield,26,7000000,Spain,LaLiga,Sevilla FC,Spain,LaLiga,CD Leganés,loan transfer,2019
580,Roque Mesa,Central Midfield,30,7000000,Spain,LaLiga,Sevilla FC,Spain,LaLiga,CD Leganés,loan transfer,2019
581,Isaac Mbenza,Right Winger,23,7000000,England,Championship,Huddersfield Town,France,Ligue 1,Amiens SC,loan transfer,2019
582,Florent Hadergjonaj,Right-Back,25,7000000,England,Championship,Huddersfield Town,Turkey,Süper Lig,Kasimpasa,loan transfer,2019
583,Asmir Begovic,Goalkeeper,32,7000000,England,Premier League,AFC Bournemouth,Azerbaijan,Premyer Liqa,Qarabağ FK,loan transfer,2019
584,Mauricio Pereyra,Attacking Midfield,29,7000000,Russia,Premier Liga,FK Krasnodar,United States,MLS,Orlando City SC,free transfer,2019
585,Zack Steffen,Goalkeeper,24,5000000,United States,MLS,Columbus Crew SC,England,Premier League,Manchester City,6000000,2019
586,James Justin,Right-Back,21,-,England,Championship,Luton Town,England,Premier League,Leicester City,6000000,2019
587,Sam Gallagher,Centre-Forward,23,3000000,England,Premier League,Southampton FC,England,Championship,Blackburn Rovers,6000000,2019
588,Iago,Left-Back,22,2000000,Brazil,Série A,Sport Club Internacional,Germany,Bundesliga,FC Augsburg,6000000,2019
589,Domagoj Bradaric,Left-Back,19,1000000,Croatia,SuperSport HNL,HNK Hajduk Split,France,Ligue 1,LOSC Lille,6000000,2019
590,Bryan Mbeumo,Right Winger,19,3000000,France,Ligue 2,ESTAC Troyes,England,Championship,Brentford FC,6000000,2019
591,Lucas Lima,Left-Back,27,6000000,France,Ligue 1,FC Nantes,Saudi Arabia,Saudi Pro League,Al-Ahli Saudi FC,6000000,2019
592,Patrik Hrosovsky,Central Midfield,27,6000000,Czech Republic,Fortuna Liga Champ. Gr.,FC Viktoria Plzen,Belgium,Jupiler Pro League,KRC Genk,5000000,2019
593,Yevgen Konoplyanka,Attacking Midfield,29,6000000,Germany,Bundesliga,FC Schalke 04,Ukraine,Premier Liga,Shakhtar Donetsk,1000000,2019
594,Simon Kjaer,Centre-Back,30,6000000,Spain,LaLiga,Sevilla FC,Italy,Serie A,AC Milan,loan transfer,2019
595,Nemanja Gudelj,Defensive Midfield,27,6000000,China,Super League,Guangzhou Evergrande Taobao,Spain,LaLiga,Sevilla FC,free transfer,2019
596,Wallace,Centre-Back,24,6000000,Italy,Serie A,SS Lazio,Portugal,Liga NOS,SC Braga,loan transfer,2019
597,Gustavo Bou,Centre-Forward,29,3000000,Mexico,Liga MX Clausura,Club Tijuana,United States,MLS,New England Revolution,6000000,2019
598,Richard Sánchez,Central Midfield,23,2000000,Paraguay,Primera División Clausura,Olimpia Asunción,Mexico,Liga MX Clausura,CF América,6000000,2019
599,Matías Viña,Left-Back,22,2000000,Uruguay,Primera División Clausura,Club Nacional,Brazil,Série A,Sociedade Esportiva Palmeiras,6000000,2019
600,Luis Romo,Defensive Midfield,24,1000000,Mexico,Liga MX Clausura,Querétaro FC,Mexico,Liga MX Clausura,CD Cruz Azul,6000000,2019
601,Pontus Jansson,Centre-Back,28,6000000,England,Championship,Leeds United,England,Championship,Brentford FC,6000000,2019
602,Christian Cueva,Attacking Midfield,28,4000000,Russia,Premier Liga,FK Krasnodar,Brazil,Série A,Santos FC,6000000,2019
603,Lukas Lerager,Central Midfield,25,6000000,France,Ligue 1,FC Girondins Bordeaux,Italy,Serie A,Genoa CFC,6000000,2019
604,Victorien Angban,Central Midfield,22,1000000,England,Premier League 2,Chelsea FC U23,France,Ligue 1,FC Metz,6000000,2019
605,Serhou Guirassy,Centre-Forward,23,3000000,Germany,Bundesliga,1. FC Köln,France,Ligue 1,Amiens SC,6000000,2019
606,Gabriel Brazão,Goalkeeper,18,2000000,Italy,Serie A,Parma Calcio 1913,Italy,Serie A,Inter Milan,6000000,2019
607,Denis Cheryshev,Left Winger,28,6000000,Spain,LaLiga,Villarreal CF,Spain,LaLiga,Valencia CF,6000000,2019
