,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,year
67,Marcos Llorente,Central Midfield,24,20000000,Spain,LaLiga,Real Madrid,Spain,LaLiga,Atlético de Madrid,30000000,2019
68,Gelson Martins,Right Winger,24,28000000,Spain,LaLiga,Atlético de Madrid,Monaco,Ligue 1,AS Monaco,30000000,2019
69,William Saliba,Centre-Back,18,12000000,France,Ligue 1,AS Saint-Étienne,England,Premier League,Arsenal FC,30000000,2019
70,Idrissa Gueye,Central Midfield,29,25000000,England,Premier League,Everton FC,France,Ligue 1,Paris Saint-Germain,30000000,2019
71,Ismaïla Sarr,Right Winger,21,30000000,France,Ligue 1,Stade Rennais FC,England,Premier League,Watford FC,30000000,2019
72,Reinier,Attacking Midfield,18,25000000,Brazil,Série A,CR Flamengo,Spain,LaLiga,Real Madrid,30000000,2019
73,Matteo Politano,Right Winger,25,30000000,Italy,Serie A,US Sassuolo,Italy,Serie A,Inter Milan,21000000,2019
74,Stephan El Shaarawy,Left Winger,26,30000000,Italy,Serie A,AS Roma,China,Super League,Shanghai Greenland Shenhua,16000000,2019
75,Ivan Perisic,Left Midfield,30,30000000,Italy,Serie A,Inter Milan,Germany,Bundesliga,Bayern Munich,5000000,2019
76,Emre Can,Defensive Midfield,26,30000000,Italy,Serie A,Juventus FC,Germany,Bundesliga,Borussia Dortmund,1000000,2019
77,Suso,Right Winger,26,30000000,Italy,Serie A,AC Milan,Spain,LaLiga,Sevilla FC,980k,2019
78,Santi Mina,Centre-Forward,23,30000000,Spain,LaLiga,Valencia CF,Spain,LaLiga,Celta de Vigo,free transfer,2019
79,Dani Ceballos,Central Midfield,22,30000000,Spain,LaLiga,Real Madrid,England,Premier League,Arsenal FC,loan transfer,2019
80,Leonardo Spinazzola,Left-Back,26,15000000,Italy,Serie A,Juventus FC,Italy,Serie A,AS Roma,29000000,2019
81,Rafael Leão,Left Winger,20,15000000,France,Ligue 1,LOSC Lille,Italy,Serie A,AC Milan,29000000,2019
82,Pablo Fornals,Attacking Midfield,23,25000000,Spain,LaLiga,Villarreal CF,England,Premier League,West Ham United,28000000,2019
83,Borja Iglesias,Centre-Forward,26,28000000,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,Real Betis Balompié,28000000,2019
84,André Gomes,Central Midfield,25,28000000,Spain,LaLiga,FC Barcelona,England,Premier League,Everton FC,25000000,2019
85,Jean-Philippe Gbamin,Defensive Midfield,23,28000000,Germany,Bundesliga,1.FSV Mainz 05,England,Premier League,Everton FC,25000000,2019
86,Patrick Cutrone,Centre-Forward,21,28000000,Italy,Serie A,AC Milan,England,Premier League,Wolverhampton Wanderers,18000000,2019
87,Matteo Politano,Right Winger,26,28000000,Italy,Serie A,Inter Milan,Italy,Serie A,SSC Napoli,2000000,2019
88,Radja Nainggolan,Central Midfield,31,28000000,Italy,Serie A,Inter Milan,Italy,Serie A,Cagliari Calcio,loan transfer,2019
89,Yannick Carrasco,Left Winger,26,28000000,China,Super League,Dalian Professional,Spain,LaLiga,Atlético de Madrid,loan transfer,2019
90,Kieran Tierney,Left-Back,22,12000000,Scotland,Premiership,Celtic FC,England,Premier League,Arsenal FC,27000000,2019
91,Alex Meret,Goalkeeper,22,25000000,Italy,Serie A,Udinese Calcio,Italy,Serie A,SSC Napoli,26000000,2019
92,Neto,Goalkeeper,29,18000000,Spain,LaLiga,Valencia CF,Spain,LaLiga,FC Barcelona,26000000,2019
93,Nico Schulz,Left-Back,26,25000000,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,Borussia Dortmund,25000000,2019
94,Danny Ings,Centre-Forward,26,15000000,England,Premier League,Liverpool FC,England,Premier League,Southampton FC,25000000,2019
95,Wesley Moraes,Centre-Forward,22,20000000,Belgium,Jupiler Pro League,Club Brugge KV,England,Premier League,Aston Villa,25000000,2019
96,Mario Hermoso,Centre-Back,24,25000000,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,Atlético de Madrid,25000000,2019
97,Rony Lopes,Right Winger,23,25000000,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,Sevilla FC,25000000,2019
98,Jeff Reine-Adélaïde,Attacking Midfield,21,11000000,France,Ligue 1,Angers SCO,France,Ligue 1,Olympique Lyon,25000000,2019
99,Lucas Tousart,Defensive Midfield,22,20000000,France,Ligue 1,Olympique Lyon,Germany,Bundesliga,Hertha BSC,25000000,2019
100,Joachim Andersen,Centre-Back,23,25000000,Italy,Serie A,UC Sampdoria,France,Ligue 1,Olympique Lyon,24000000,2019
101,Bryan Cristante,Defensive Midfield,24,25000000,Italy,Serie A,Atalanta BC,Italy,Serie A,AS Roma,22000000,2019
102,Thiago Mendes,Defensive Midfield,27,25000000,France,Ligue 1,LOSC Lille,France,Ligue 1,Olympique Lyon,22000000,2019
103,Junior Firpo,Left-Back,22,25000000,Spain,LaLiga,Real Betis Balompié,Spain,LaLiga,FC Barcelona,20000000,2019
104,Allan Saint-Maximin,Left Winger,22,25000000,France,Ligue 1,OGC Nice,England,Premier League,Newcastle United,18000000,2019
105,Exequiel Palacios,Central Midfield,21,25000000,Argentina,Copa Maradona,CA River Plate,Germany,Bundesliga,Bayer 04 Leverkusen,17000000,2019
106,Shoya Nakajima,Attacking Midfield,24,25000000,Qatar,Stars League,Al-Duhail SC,Portugal,Liga NOS,FC Porto,12000000,2019
107,Henrikh Mkhitaryan,Attacking Midfield,30,25000000,England,Premier League,Arsenal FC,Italy,Serie A,AS Roma,3000000,2019
108,Jean Michaël Seri,Central Midfield,27,25000000,England,Championship,Fulham FC,Turkey,Süper Lig,Galatasaray,1000000,2019
109,Ander Herrera,Central Midfield,29,25000000,England,Premier League,Manchester United,France,Ligue 1,Paris Saint-Germain,free transfer,2019
110,Frank Anguissa,Central Midfield,23,25000000,England,Championship,Fulham FC,Spain,LaLiga,Villarreal CF,loan transfer,2019
111,Dejan Kulusevski,Right Winger,19,25000000,Italy,Serie A,Juventus FC,Italy,Serie A,Parma Calcio 1913,loan transfer,2019
112,Dennis Praet,Central Midfield,25,24000000,Italy,Serie A,UC Sampdoria,England,Premier League,Leicester City,19000000,2019
113,Pau López,Goalkeeper,24,20000000,Spain,LaLiga,Real Betis Balompié,Italy,Serie A,AS Roma,23000000,2019
114,Nikola Vlasic,Attacking Midfield,21,20000000,England,Premier League,Everton FC,Russia,Premier Liga,CSKA Moscow,23000000,2019
115,Sander Berge,Central Midfield,21,22000000,Belgium,Jupiler Pro League,KRC Genk,England,Premier League,Sheffield United,23000000,2019
116,Julian Weigl,Defensive Midfield,24,23000000,Germany,Bundesliga,Borussia Dortmund,Portugal,Liga NOS,SL Benfica,20000000,2019
117,Gabriel Barbosa,Centre-Forward,23,23000000,Italy,Serie A,Inter Milan,Brazil,Série A,CR Flamengo,17000000,2019
118,Steven Nzonzi,Defensive Midfield,30,23000000,Italy,Serie A,AS Roma,Turkey,Süper Lig,Galatasaray,loan transfer,2019
119,Simone Verdi,Attacking Midfield,27,23000000,Italy,Serie A,SSC Napoli,Italy,Serie A,Torino FC,loan transfer,2019
120,Raúl de Tomás,Centre-Forward,25,15000000,Portugal,Liga NOS,SL Benfica,Spain,LaLiga,RCD Espanyol Barcelona,22000000,2019
121,Victor Osimhen,Centre-Forward,20,13000000,Belgium,Jupiler Pro League,RSC Charleroi,France,Ligue 1,LOSC Lille,22000000,2019
122,Valentino Lazaro,Right-Back,23,17000000,Germany,Bundesliga,Hertha BSC,Italy,Serie A,Inter Milan,22000000,2019
123,Tyrone Mings,Centre-Back,26,5000000,England,Premier League,AFC Bournemouth,England,Premier League,Aston Villa,22000000,2019
124,Adam Webster,Centre-Back,24,9000000,England,Championship,Bristol City,England,Premier League,Brighton & Hove Albion,22000000,2019
125,Luca Pellegrini,Left-Back,20,5000000,Italy,Serie A,AS Roma,Italy,Serie A,Juventus FC,22000000,2019
126,Filip Kostić,Left Midfield,26,22000000,Germany,2. Bundesliga,Hamburger SV,Germany,Bundesliga,Eintracht Frankfurt,6000000,2019
127,Gianluca Mancini,Centre-Back,23,22000000,Italy,Serie A,Atalanta BC,Italy,Serie A,AS Roma,2000000,2019
128,Christian Kouamé,Centre-Forward,22,22000000,Italy,Serie A,Genoa CFC,Italy,Serie A,ACF Fiorentina,1000000,2019
