;name;position;age;market_value;country_from;league_from;club_from;country_to;league_to;club_to;fee
630;John Anthony Brooks;Centre-Back;29;6000000;Portugal;Liga Portugal;SL Benfica;Germany;Bundesliga;TSG 1899 Hoffenheim;300000
757;Tonny Vilhena;Central Midfield;27;5000000;Spain;LaLiga;RCD Espanyol Barcelona;Italy;Serie A;US Salernitana 1919;300000
374;Alessio Cragno;Goalkeeper;28;10000000;Italy;Serie B;Cagliari Calcio;Italy;Serie A;AC Monza;400000
628;Tino Kadewere;Centre-Forward;26;6000000;France;Ligue 1;Olympique Lyon;Spain;LaLiga;RCD Mallorca;400000
853;Agustín Rogel;Centre-Back;24;4000000;Argentina;Liga Profesional;Club Estudiantes de La Plata;Germany;Bundesliga;Hertha BSC;400000
854;Hiroki Ito;Centre-Back;23;4000000;Japan;J1 League;Júbilo Iwata;Germany;Bundesliga;VfB Stuttgart;400000
855;Kaan Ayhan;Centre-Back;28;4000000;Italy;Serie A;US Sassuolo;Turkey;Süper Lig;Galatasaray;400000
952;Álvaro Fernández;Goalkeeper;24;4000000;Spain;LaLiga2;SD Huesca;Spain;LaLiga;RCD Espanyol Barcelona;400000
951;Otabek Shukurov;Central Midfield;26;4000000;United Arab Emirates;UAE Pro League;Sharjah FC;Turkey;Süper Lig;Fatih Karagümrük;420000
950;Kevin Gutiérrez;Defensive Midfield;25;4000000;Argentina;Liga Profesional;Racing Club;Argentina;Liga Profesional;Defensa y Justicia;484000
373;Pierluigi Gollini;Goalkeeper;27;10000000;Italy;Serie A;Atalanta BC;Italy;Serie A;ACF Fiorentina;490000
72;Tanguy Ndombélé;Central Midfield;25;30000000;England;Premier League;Tottenham Hotspur;Italy;Serie A;SSC Napoli;500000
188;Yusuf Yazici;Attacking Midfield;25;17000000;France;Ligue 1;LOSC Lille;Turkey;Süper Lig;Trabzonspor;500000
304;Diego Llorente;Centre-Back;29;12000000;England;Premier League;Leeds United;Italy;Serie A;AS Roma;500000
423;Ricardo Pepi;Centre-Forward;19;9000000;Germany;Bundesliga;FC Augsburg;Netherlands;Eredivisie;FC Groningen;500000
424;Thorgan Hazard;Left Winger;29;9000000;Germany;Bundesliga;Borussia Dortmund;Netherlands;Eredivisie;PSV Eindhoven;500000
537;Diogo Leite;Centre-Back;23;7000000;Portugal;Liga Portugal;FC Porto;Germany;Bundesliga;1.FC Union Berlin;500000
538;Kenedy;Left Winger;26;7000000;England;Premier League;Chelsea FC;Spain;LaLiga;Real Valladolid CF;500000
539;Maycon;Central Midfield;25;7000000;Ukraine;Premier Liga;Shakhtar Donetsk;Brazil;Paulistão A1 - Primeira fase;Sport Club Corinthians Paulista;500000
627;Florent Mollet;Attacking Midfield;30;6000000;France;Ligue 1;Montpellier HSC;Germany;Bundesliga;FC Schalke 04;500000
753;Ludwig Augustinsson;Left-Back;28;5000000;Spain;LaLiga;Sevilla FC;England;Premier League;Aston Villa;500000
754;Mathew Ryan;Goalkeeper;30;5000000;Spain;LaLiga;Real Sociedad;Denmark;Superligaen;FC Copenhagen;500000
755;Mathew Ryan;Goalkeeper;30;5000000;Denmark;Superligaen;FC Copenhagen;Netherlands;Eredivisie;AZ Alkmaar;500000
756;Nicolas Cozza;Left-Back;24;5000000;France;Ligue 1;Montpellier HSC;Germany;Bundesliga;VfL Wolfsburg;500000
852;Youssef Maleh;Central Midfield;24;4000000;Italy;Serie A;ACF Fiorentina;Italy;Serie A;US Lecce;500000
885;Can Bozdogan;Central Midfield;21;4000000;Germany;Bundesliga;FC Schalke 04;Netherlands;Eredivisie;FC Utrecht;500000
947;Johan Vásquez;Centre-Back;23;4000000;Italy;Serie B;Genoa CFC;Italy;Serie A;US Cremonese;500000
948;Falaye Sacko;Right-Back;27;4000000;Portugal;Liga Portugal;Vitória Guimarães SC;France;Ligue 1;Montpellier HSC;500000
949;Emre Akbaba;Attacking Midfield;29;4000000;Turkey;Süper Lig;Galatasaray;Turkey;Süper Lig;Adana Demirspor;500000
1093;Sasa Zdjelar;Defensive Midfield;27;3000000;Serbia;Super liga Srbije;FK Partizan Belgrade;Russia;Premier Liga;CSKA Moscow;500000
1094;Sandro Ramírez;Centre-Forward;27;3000000;Spain;LaLiga2;SD Huesca;Spain;LaLiga2;UD Las Palmas;500000
1095;Didier Lamkel Zé;Left Winger;25;3000000;Belgium;Jupiler Pro League;Royal Antwerp FC;Belgium;Jupiler Pro League;KV Kortrijk;500000
1092;Magnus Kofod Andersen;Central Midfield;23;3000000;Denmark;Superligaen;FC Nordsjaelland;Italy;Serie B;Venezia FC;510000
1179;Lucas Romero;Defensive Midfield;28;3000000;Argentina;Liga Profesional;CA Independiente;Mexico;Liga MX Clausura;Club León FC;564000
752;Jack Hendry;Centre-Back;27;5000000;Belgium;Jupiler Pro League;Club Brugge KV;Italy;Serie A;US Cremonese;600000
945;Tom Krauß;Central Midfield;21;4000000;Germany;Bundesliga;RB Leipzig;Germany;Bundesliga;FC Schalke 04;600000
946;Gyrano Kerk;Right Winger;27;4000000;Russia;Premier Liga;Lokomotiv Moscow;Belgium;Jupiler Pro League;Royal Antwerp FC;600000
1091;Daniel;Goalkeeper;28;3000000;Brazil;Campeonato Gaúcho;Sport Club Internacional;United States;MLS;San Jose Earthquakes;600000
1178;João Figueiredo;Centre-Forward;26;3000000;Turkey;Süper Lig;Gaziantep FK;Turkey;Süper Lig;Basaksehir FK;650000
944;Willer Ditta;Centre-Back;24;4000000;Colombia;Liga Dimayor I;Junior FC;Argentina;Liga Profesional;CA Newell's Old Boys;665000
536;Raoul Bellanova;Right-Back;22;7000000;France;Ligue 2;FC Girondins Bordeaux;Italy;Serie B;Cagliari Calcio;700000
205;Arkadiusz Milik;Centre-Forward;28;16000000;France;Ligue 1;Olympique Marseille;Italy;Serie A;Juventus FC;750000
467;Domingos Duarte;Centre-Back;27;8000000;Spain;LaLiga2;Granada CF;Spain;LaLiga;Getafe CF;750000
626;Matías Viña;Left-Back;25;6000000;Italy;Serie A;AS Roma;England;Premier League;AFC Bournemouth;750000
943;Braian Romero;Centre-Forward;31;4000000;Argentina;Liga Profesional;CA River Plate;Brazil;Série A;Sport Club Internacional;900000
1090;Joaquín Pereyra;Central Midfield;24;3000000;Argentina;Liga Profesional;CA Rosario Central;Argentina;Liga Profesional;Club Atlético Tucumán;938000
1089;Kévin Cabral;Left Winger;23;3000000;United States;MLS;Los Angeles Galaxy;United States;MLS;Colorado Rapids;950000
751;Mark-Anthony Kaye;Central Midfield;27;5000000;United States;MLS;Colorado Rapids;Canada;MLS;Toronto FC;955000
372;Aleksey Miranchuk;Attacking Midfield;26;10000000;Italy;Serie A;Atalanta BC;Italy;Serie A;Torino FC;980000
117;Weston McKennie;Central Midfield;24;21000000;Italy;Serie A;Juventus FC;England;Premier League;Leeds United;1000000
138;Antonin Barak;Attacking Midfield;27;20000000;Italy;Serie A;Hellas Verona;Italy;Serie A;ACF Fiorentina;1000000
166;Abdou Diallo;Centre-Back;26;18000000;France;Ligue 1;Paris Saint-Germain;Germany;Bundesliga;RB Leipzig;1000000
232;Héctor Bellerín;Right-Back;27;15000000;Spain;LaLiga;FC Barcelona;Portugal;Liga Portugal;Sporting CP;1000000
299;Karl Toko Ekambi;Left Winger;30;12000000;France;Ligue 1;Olympique Lyon;France;Ligue 1;Stade Rennais FC;1000000
300;Boulaye Dia;Centre-Forward;25;12000000;Spain;LaLiga;Villarreal CF;Italy;Serie A;US Salernitana 1919;1000000
301;Krzysztof Piatek;Centre-Forward;27;12000000;Germany;Bundesliga;Hertha BSC;Italy;Serie A;US Salernitana 1919;1000000
302;Razvan Marin;Central Midfield;26;12000000;Italy;Serie B;Cagliari Calcio;Italy;Serie A;FC Empoli;1000000
303;Kevin Schade;Right Winger;21;12000000;Germany;Bundesliga;SC Freiburg;England;Premier League;Brentford FC;1000000
331;Mady Camara;Central Midfield;25;11000000;Greece;Super League 1;Olympiacos Piraeus;Italy;Serie A;AS Roma;1000000
369;Alexander Sörloth;Centre-Forward;26;10000000;Germany;Bundesliga;RB Leipzig;Spain;LaLiga;Real Sociedad;1000000
370;Mathias Normann;Defensive Midfield;26;10000000;Russia;Premier Liga;FK Rostov;Russia;Premier Liga;Dynamo Moscow;1000000
371;Romain Faivre;Right Midfield;24;10000000;France;Ligue 1;Olympique Lyon;France;Ligue 1;FC Lorient;1000000
422;Nikola Moro;Defensive Midfield;24;9000000;Russia;Premier Liga;Dynamo Moscow;Italy;Serie A;Bologna FC 1909;1000000
464;Moi Gómez;Left Winger;28;8000000;Spain;LaLiga;Villarreal CF;Spain;LaLiga;CA Osasuna;1000000
465;Haris Seferovic;Centre-Forward;30;8000000;Portugal;Liga Portugal;SL Benfica;Turkey;Süper Lig;Galatasaray;1000000
466;Malang Sarr;Centre-Back;23;8000000;England;Premier League;Chelsea FC;Monaco;Ligue 1;AS Monaco;1000000
500;Josip Brekalo;Left Winger;24;7000000;Germany;Bundesliga;VfL Wolfsburg;Italy;Serie A;ACF Fiorentina;1000000
532;Eldor Shomurodov;Centre-Forward;27;7000000;Italy;Serie A;AS Roma;Italy;Serie A;Spezia Calcio;1000000
533;Nicolas Raskin;Central Midfield;21;7000000;Belgium;Jupiler Pro League;Standard Liège;Scotland;Premiership;Rangers FC;1000000
534;Agustín Rossi;Goalkeeper;27;7000000;Argentina;Liga Profesional;CA Boca Juniors;Saudi Arabia;Saudi Pro League;Al-Nassr FC;1000000
535;Oliver Abildgaard;Defensive Midfield;26;7000000;Russia;1.Division;Rubin Kazan;Scotland;Premiership;Celtic FC;1000000
577;Selim Amallah;Attacking Midfield;26;6000000;Belgium;Jupiler Pro League;Standard Liège;Spain;LaLiga;Real Valladolid CF;1000000
619;Bartlomiej Dragowski;Goalkeeper;24;6000000;Italy;Serie A;ACF Fiorentina;Italy;Serie A;Spezia Calcio;1000000
620;Pedro Raul;Centre-Forward;26;6000000;Japan;J1 League;Kashiwa Reysol;Brazil;Carioca - Taça Guanabara;Clube de Regatas Vasco da Gama;1000000
621;Daniel Wass;Right-Back;33;6000000;Spain;LaLiga;Atlético de Madrid;Denmark;Superligaen;Bröndby IF;1000000
622;Amadou Diawara;Defensive Midfield;25;6000000;Italy;Serie A;AS Roma;Belgium;Jupiler Pro League;RSC Anderlecht;1000000
623;Marc Bartra;Centre-Back;31;6000000;Spain;LaLiga;Real Betis Balompié;Turkey;Süper Lig;Trabzonspor;1000000
624;Carles Pérez;Right Winger;24;6000000;Italy;Serie A;AS Roma;Spain;LaLiga;Celta de Vigo;1000000
625;Carles Pérez;Right Winger;24;6000000;Italy;Serie A;AS Roma;Spain;LaLiga;Celta de Vigo;1000000
743;Andrea Cambiaso;Left-Back;22;5000000;Italy;Serie A;Juventus FC;Italy;Serie A;Bologna FC 1909;1000000
744;Dominik Kohr;Central Midfield;28;5000000;Germany;Bundesliga;Eintracht Frankfurt;Germany;Bundesliga;1.FSV Mainz 05;1000000
745;Lucas Perrin;Centre-Back;23;5000000;France;Ligue 1;Olympique Marseille;France;Ligue 1;RC Strasbourg Alsace;1000000
746;Guga;Right-Back;24;5000000;Brazil;Campeonato Mineiro;Clube Atlético Mineiro;Brazil;Carioca - Taça Guanabara;Fluminense Football Club;1000000
747;Henry Onyekuru;Left Winger;25;5000000;Greece;Super League 1;Olympiacos Piraeus;Turkey;Süper Lig;Adana Demirspor;1000000
748;Jan Kuchta;Centre-Forward;25;5000000;Russia;Premier Liga;Lokomotiv Moscow;Czech Republic;Fortuna Liga;AC Sparta Prague;1000000
749;Zymer Bytyqi;Left Winger;26;5000000;Turkey;Süper Lig;Konyaspor;Greece;Super League 1;Olympiacos Piraeus;1000000
750;Zymer Bytyqi;Left Winger;26;5000000;Turkey;Süper Lig;Konyaspor;Greece;Super League 1;Olympiacos Piraeus;1000000
847;Federico Gattoni;Centre-Back;23;4000000;Argentina;Liga Profesional;CA San Lorenzo de Almagro;Spain;LaLiga;Sevilla FC;1000000
848;Lorenzo Montipò;Goalkeeper;26;4000000;Italy;Serie B;Benevento Calcio;Italy;Serie A;Hellas Verona;1000000
849;Tiquinho Soares;Centre-Forward;31;4000000;Greece;Super League 1;Olympiacos Piraeus;Brazil;Série A;Botafogo de Futebol e Regatas;1000000
850;David Martínez;Centre-Back;24;4000000;Argentina;Liga Profesional;Defensa y Justicia;Argentina;Liga Profesional;CA River Plate;1000000
851;Lorenzo Montipò;Goalkeeper;26;4000000;Italy;Serie B;Benevento Calcio;Italy;Serie A;Hellas Verona;1000000
931;Gonzalo Melero;Central Midfield;28;4000000;Spain;LaLiga2;Levante UD;Spain;LaLiga;UD Almería;1000000
932;Nacho Fernández;Attacking Midfield;32;4000000;Brazil;Campeonato Mineiro;Clube Atlético Mineiro;Argentina;Liga Profesional;CA River Plate;1000000
933;Alan Mozo;Right-Back;25;4000000;Mexico;Liga MX Clausura;UNAM Pumas;Mexico;Liga MX Clausura;Deportivo Guadalajara;1000000
934;Elvis Rexhbecaj;Central Midfield;24;4000000;Germany;Bundesliga;VfL Wolfsburg;Germany;Bundesliga;FC Augsburg;1000000
935;Michal Sadilek;Defensive Midfield;23;4000000;Netherlands;Eredivisie;PSV Eindhoven;Netherlands;Eredivisie;Twente Enschede FC;1000000
936;Tomás Chancalay;Left Winger;23;4000000;Argentina;Liga Profesional;Racing Club;United Arab Emirates;UAE Pro League;Al-Wasl Sports Club;1000000
937;Agustín Marchesín;Goalkeeper;34;4000000;Portugal;Liga Portugal;FC Porto;Spain;LaLiga;Celta de Vigo;1000000
938;Kasper Schmeichel;Goalkeeper;35;4000000;England;Premier League;Leicester City;France;Ligue 1;OGC Nice;1000000
939;Zaydou Youssouf;Central Midfield;23;4000000;France;Ligue 2;AS Saint-Étienne;Portugal;Liga Portugal;FC Famalicão;1000000
940;Dylan Bronn;Centre-Back;27;4000000;France;Ligue 2;FC Metz;Italy;Serie A;US Salernitana 1919;1000000
941;Adrián Embarba;Right Winger;30;4000000;Spain;LaLiga;RCD Espanyol Barcelona;Spain;LaLiga;UD Almería;1000000
942;Jayden Nelson;Left Winger;20;4000000;Canada;MLS;Toronto FC;Norway;Eliteserien;Rosenborg BK;1000000
1047;Adam Maher;Defensive Midfield;28;3000000;Netherlands;Eredivisie;FC Utrecht;Saudi Arabia;Saudi Pro League;Damac FC;1000000
1080;Adam Bareiro;Centre-Forward;26;3000000;Mexico;Liga MX Clausura;CF Monterrey;Argentina;Liga Profesional;CA San Lorenzo de Almagro;1000000
1081;Luis Malagón;Goalkeeper;25;3000000;Mexico;Liga MX Clausura;Club Necaxa;Mexico;Liga MX Clausura;CF América;1000000
1082;Tahith Chong;Right Winger;22;3000000;England;Premier League;Manchester United;England;Championship;Birmingham City;1000000
1083;Daizen Maeda;Left Winger;24;3000000;Japan;J1 League;Yokohama F. Marinos;Scotland;Premiership;Celtic FC;1000000
1084;Rodrigo Zalazar;Attacking Midfield;22;3000000;Germany;Bundesliga;Eintracht Frankfurt;Germany;Bundesliga;FC Schalke 04;1000000
1085;Adrien Hunou;Centre-Forward;28;3000000;United States;MLS;Minnesota United FC;France;Ligue 1;Angers SCO;1000000
1086;Sargis Adamyan;Centre-Forward;29;3000000;Germany;Bundesliga;TSG 1899 Hoffenheim;Germany;Bundesliga;1. FC Köln;1000000
1087;Halil Akbunar;Right Winger;28;3000000;Turkey;1.Lig;Göztepe;Belgium;Jupiler Pro League;KVC Westerlo;1000000
1088;Riccardo Calafiori;Left-Back;20;3000000;Italy;Serie A;AS Roma;Switzerland;Super League;FC Basel 1893;1000000
1177;Vakoun Bayo;Centre-Forward;25;3000000;Belgium;Jupiler Pro League;KAA Gent;Belgium;Jupiler Pro League;RSC Charleroi;1000000
1239;Ramiro Enrique;Centre-Forward;21;3000000;Argentina;Liga Profesional;CA Banfield;United States;MLS;Orlando City SC;1000000
1240;Matías Kranevitter;Defensive Midfield;29;3000000;Mexico;Liga MX Clausura;CF Monterrey;Argentina;Liga Profesional;CA River Plate;1000000
1241;Gautier Larsonneur;Goalkeeper;25;3000000;France;Ligue 1;Stade Brestois 29;France;Ligue 2;AS Saint-Étienne;1000000
1242;László Bénes;Central Midfield;24;3000000;Germany;Bundesliga;Borussia Mönchengladbach;Germany;2. Bundesliga;Hamburger SV;1000000
1243;Nikolay Komlichenko;Centre-Forward;27;3000000;Russia;Premier Liga;Dynamo Moscow;Russia;Premier Liga;FK Rostov;1000000
1244;Moreto Cassamá;Central Midfield;24;3000000;France;Ligue 1;Stade Reims;Cyprus;Protathlima Cyta;Omonia Nicosia;1000000
1245;Abdul Mumin;Centre-Back;24;3000000;Portugal;Liga Portugal;Vitória Guimarães SC;Spain;LaLiga;Rayo Vallecano;1000000
1246;Patrick;Attacking Midfield;30;3000000;Brazil;Paulistão A1 - Primeira fase;São Paulo Futebol Clube;Brazil;Campeonato Mineiro;Clube Atlético Mineiro;1000000
1247;Petar Stojanovic;Right-Back;26;3000000;Croatia;SuperSport HNL;GNK Dinamo Zagreb;Italy;Serie A;FC Empoli;1000000
1248;Monchu;Central Midfield;22;3000000;Spain;LaLiga2;Granada CF;Spain;LaLiga;Real Valladolid CF;1000000
1249;Eric Martel;Defensive Midfield;20;3000000;Germany;Bundesliga;RB Leipzig;Germany;Bundesliga;1. FC Köln;1000000
165;Julian Draxler;Left Winger;28;18000000;France;Ligue 1;Paris Saint-Germain;Portugal;Liga Portugal;SL Benfica;2000000
231;Terem Moffi;Centre-Forward;23;15000000;France;Ligue 1;FC Lorient;France;Ligue 1;OGC Nice;2000000
249;Wout Weghorst;Centre-Forward;30;14000000;England;Championship;Burnley FC;England;Premier League;Manchester United;2000000
250;Sebastian Szymanski;Attacking Midfield;23;14000000;Russia;Premier Liga;Dynamo Moscow;Netherlands;Eredivisie;Feyenoord Rotterdam;2000000
298;Andrea Petagna;Centre-Forward;27;12000000;Italy;Serie A;SSC Napoli;Italy;Serie A;AC Monza;2000000
367;Léo Dubois;Right-Back;27;10000000;France;Ligue 1;Olympique Lyon;Turkey;Süper Lig;Galatasaray;2000000
368;Aster Vranckx;Central Midfield;19;10000000;Germany;Bundesliga;VfL Wolfsburg;Italy;Serie A;AC Milan;2000000
420;Anwar El Ghazi;Right Winger;27;9000000;England;Premier League;Aston Villa;Netherlands;Eredivisie;PSV Eindhoven;2000000
421;Predrag Rajković;Goalkeeper;26;9000000;France;Ligue 1;Stade Reims;Spain;LaLiga;RCD Mallorca;2000000
576;Erick Pulgar;Defensive Midfield;28;6000000;Italy;Serie A;ACF Fiorentina;Brazil;Série A;CR Flamengo;2000000
617;Willy Boly;Centre-Back;31;6000000;England;Premier League;Wolverhampton Wanderers;England;Premier League;Nottingham Forest;2000000
618;Eric Bailly;Centre-Back;28;6000000;England;Premier League;Manchester United;France;Ligue 1;Olympique Marseille;2000000
678;Alessandro Florenzi;Right-Back;31;5000000;Italy;Serie A;AS Roma;Italy;Serie A;AC Milan;2000000
679;Jair;Defensive Midfield;28;5000000;Brazil;Campeonato Mineiro;Clube Atlético Mineiro;Brazil;Carioca - Taça Guanabara;Clube de Regatas Vasco da Gama;2000000
680;Sead Haksabanovic;Left Winger;23;5000000;Russia;1.Division;Rubin Kazan;Scotland;Premiership;Celtic FC;2000000
735;Abdülkerim Bardakci;Centre-Back;27;5000000;Turkey;Süper Lig;Konyaspor;Turkey;Süper Lig;Galatasaray;2000000
736;Julián Quiñones;Centre-Forward;25;5000000;Mexico;Liga MX Clausura;Tigres UANL;Mexico;Liga MX Clausura;Atlas Guadalajara;2000000
737;Tonny Vilhena;Central Midfield;27;5000000;Russia;Premier Liga;FK Krasnodar;Spain;LaLiga;RCD Espanyol Barcelona;2000000
738;Pierre Lees-Melou;Defensive Midfield;29;5000000;England;Championship;Norwich City;France;Ligue 1;Stade Brestois 29;2000000
739;Diogo Gonçalves;Right Winger;25;5000000;Portugal;Liga Portugal;SL Benfica;Denmark;Superligaen;FC Copenhagen;2000000
740;Ivica Ivusic;Goalkeeper;27;5000000;Croatia;SuperSport HNL;NK Osijek;Cyprus;Protathlima Cyta;Pafos FC;2000000
741;Umut Bozok;Centre-Forward;25;5000000;France;Ligue 1;FC Lorient;Turkey;Süper Lig;Trabzonspor;2000000
742;Jimmy Cabot;Right Midfield;28;5000000;France;Ligue 1;Angers SCO;France;Ligue 1;RC Lens;2000000
828;Berat Özdemir;Defensive Midfield;24;4000000;Turkey;Süper Lig;Trabzonspor;Saudi Arabia;Saudi Pro League;Ettifaq FC;2000000
829;Nicolas Moumi Ngamaleu;Left Winger;28;4000000;Switzerland;Super League;BSC Young Boys;Russia;Premier Liga;Dynamo Moscow;2000000
844;Luca Kilian;Centre-Back;22;4000000;Germany;Bundesliga;1.FSV Mainz 05;Germany;Bundesliga;1. FC Köln;2000000
845;Moussa Sissoko;Central Midfield;32;4000000;England;Championship;Watford FC;France;Ligue 1;FC Nantes;2000000
846;Ezequiel Bullaude;Attacking Midfield;21;4000000;Argentina;Liga Profesional;CD Godoy Cruz Antonio Tomba;Netherlands;Eredivisie;Feyenoord Rotterdam;2000000
923;Jonathan Calleri;Centre-Forward;28;4000000;Uruguay;Primera División Clausura;Club Deportivo Maldonado;Brazil;Série A;São Paulo Futebol Clube;2000000
924;Carlos Gruezo;Defensive Midfield;27;4000000;Germany;Bundesliga;FC Augsburg;United States;MLS;San Jose Earthquakes;2000000
925;Aïssa Laïdouni;Central Midfield;26;4000000;Hungary;NB I.;Ferencvárosi TC;Germany;Bundesliga;1.FC Union Berlin;2000000
926;Rasmus Lauritsen;Centre-Back;26;4000000;Croatia;SuperSport HNL;GNK Dinamo Zagreb;Denmark;Superligaen;Bröndby IF;2000000
927;Abdelhamid Sabiri;Attacking Midfield;26;4000000;Italy;Serie A;UC Sampdoria;Italy;Serie A;ACF Fiorentina;2000000
928;Martin Dúbravka;Goalkeeper;33;4000000;England;Premier League;Newcastle United;England;Premier League;Manchester United;2000000
929;Enzo Díaz;Left-Back;27;4000000;Argentina;Liga Profesional;Club Atlético Talleres;Argentina;Liga Profesional;CA River Plate;2000000
930;Benjamin Lecomte;Goalkeeper;31;4000000;Monaco;Ligue 1;AS Monaco;France;Ligue 1;Montpellier HSC;2000000
1069;Marin Ljubicic;Centre-Forward;20;3000000;Croatia;SuperSport HNL;HNK Hajduk Split;Austria;Bundesliga;LASK;2000000
1070;Kevin Agudelo;Attacking Midfield;23;3000000;Italy;Serie B;Genoa CFC;Italy;Serie A;Spezia Calcio;2000000
1071;Hjalmar Ekdal;Centre-Back;24;3000000;Sweden;Allsvenskan;Djurgårdens IF;England;Championship;Burnley FC;2000000
1072;Sergey Pinyaev;Left Winger;18;3000000;Russia;Premier Liga;Krylya Sovetov Samara;Russia;Premier Liga;Lokomotiv Moscow;2000000
1073;Andreas Hanche-Olsen;Centre-Back;25;3000000;Belgium;Jupiler Pro League;KAA Gent;Germany;Bundesliga;1.FSV Mainz 05;2000000
1074;Omar Colley;Centre-Back;30;3000000;Italy;Serie A;UC Sampdoria;Turkey;Süper Lig;Besiktas JK;2000000
1075;Ramón Sosa;Right Winger;23;3000000;Argentina;Liga Profesional;Club de Gimnasia y Esgrima La Plata;Argentina;Liga Profesional;Club Atlético Talleres;2000000
1076;Ivan Provedel;Goalkeeper;28;3000000;Italy;Serie A;Spezia Calcio;Italy;Serie A;SS Lazio;2000000
1077;Dedryck Boyata;Centre-Back;31;3000000;Germany;Bundesliga;Hertha BSC;Belgium;Jupiler Pro League;Club Brugge KV;2000000
1078;Dejan Lovren;Centre-Back;33;3000000;Russia;Premier Liga;Zenit St. Petersburg;France;Ligue 1;Olympique Lyon;2000000
1079;Wesley Hoedt;Centre-Back;28;3000000;Belgium;Jupiler Pro League;RSC Anderlecht;England;Championship;Watford FC;2000000
1222;Léo;Centre-Back;26;3000000;Brazil;Paulistão A1 - Primeira fase;São Paulo Futebol Clube;Brazil;Carioca - Taça Guanabara;Clube de Regatas Vasco da Gama;2000000
1223;José Gragera;Central Midfield;22;3000000;Spain;LaLiga2;Sporting Gijón;Spain;LaLiga;RCD Espanyol Barcelona;2000000
1224;Leonardo Campana;Centre-Forward;22;3000000;England;Premier League;Wolverhampton Wanderers;United States;MLS;Inter Miami CF;2000000
1225;Matt Clarke;Centre-Back;25;3000000;England;Premier League;Brighton & Hove Albion;England;Championship;Middlesbrough FC;2000000
1226;Hrvoje Smolcic;Centre-Back;21;3000000;Croatia;SuperSport HNL;HNK Rijeka;Germany;Bundesliga;Eintracht Frankfurt;2000000
1227;Antonio Colak;Centre-Forward;28;3000000;Greece;Super League 1;PAOK Thessaloniki;Scotland;Premiership;Rangers FC;2000000
1228;Eduard Sobol;Left-Back;27;3000000;Belgium;Jupiler Pro League;Club Brugge KV;France;Ligue 1;RC Strasbourg Alsace;2000000
1229;Felipe;Centre-Back;33;3000000;Spain;LaLiga;Atlético de Madrid;England;Premier League;Nottingham Forest;2000000
1230;Fernando Pacheco;Goalkeeper;30;3000000;Spain;LaLiga;UD Almería;Spain;LaLiga;RCD Espanyol Barcelona;2000000
1231;Philip Zinckernagel;Right Winger;27;3000000;England;Championship;Watford FC;Greece;Super League 1;Olympiacos Piraeus;2000000
1232;Léo Jardim;Goalkeeper;27;3000000;France;Ligue 1;LOSC Lille;Brazil;Carioca - Taça Guanabara;Clube de Regatas Vasco da Gama;2000000
1233;Rochinha;Left Winger;27;3000000;Portugal;Liga Portugal;Vitória Guimarães SC;Portugal;Liga Portugal;Sporting CP;2000000
1234;Adama Traoré;Right Winger;27;3000000;Moldova;Super Liga (Phase 2);FC Sheriff Tiraspol;Hungary;NB I.;Ferencvárosi TC;2000000
1235;Nathan;Right-Back;20;3000000;Portugal;Liga Portugal;Boavista FC;Brazil;Série A;Santos FC;2000000
1236;Cédric Hountondji;Centre-Back;28;3000000;France;Ligue 1;Clermont Foot 63;France;Ligue 1;Angers SCO;2000000
1237;Ben Malango;Centre-Forward;28;3000000;United Arab Emirates;UAE Pro League;Sharjah FC;Qatar;Stars League;Qatar SC;2000000
1238;Vinicius Zanocelo;Central Midfield;21;3000000;Brazil;Paulistão A1 - Primeira fase;Associação Ferroviária de Esportes (SP);Brazil;Paulistão A1 - Primeira fase;Santos FC;2000000
56;Arnaut Danjuma;Left Winger;25;35000000;Spain;LaLiga;Villarreal CF;England;Premier League;Tottenham Hotspur;3000000
81;Denis Zakaria;Defensive Midfield;25;27000000;Italy;Serie A;Juventus FC;England;Premier League;Chelsea FC;3000000
136;Memphis Depay;Centre-Forward;28;20000000;Spain;LaLiga;FC Barcelona;Spain;LaLiga;Atlético de Madrid;3000000
137;Trincão;Right Winger;22;20000000;Spain;LaLiga;FC Barcelona;Portugal;Liga Portugal;Sporting CP;3000000
187;Giovanni Simeone;Centre-Forward;27;17000000;Italy;Serie A;Hellas Verona;Italy;Serie A;SSC Napoli;3000000
204;Matteo Pessina;Attacking Midfield;25;16000000;Italy;Serie A;Atalanta BC;Italy;Serie A;AC Monza;3000000
230;Konstantinos Mavropanos;Centre-Back;24;15000000;England;Premier League;Arsenal FC;Germany;Bundesliga;VfB Stuttgart;3000000
296;Sérgio Oliveira;Central Midfield;30;12000000;Portugal;Liga Portugal;FC Porto;Turkey;Süper Lig;Galatasaray;3000000
297;Maxi Gómez;Centre-Forward;26;12000000;Spain;LaLiga;Valencia CF;Turkey;Süper Lig;Trabzonspor;3000000
364;Michy Batshuayi;Centre-Forward;28;10000000;England;Premier League;Chelsea FC;Turkey;Süper Lig;Fenerbahce;3000000
365;Mario Götze;Attacking Midfield;30;10000000;Netherlands;Eredivisie;PSV Eindhoven;Germany;Bundesliga;Eintracht Frankfurt;3000000
366;Gianluca Caprari;Second Striker;28;10000000;Italy;Serie A;Hellas Verona;Italy;Serie A;AC Monza;3000000
418;Bernd Leno;Goalkeeper;30;9000000;England;Premier League;Arsenal FC;England;Premier League;Fulham FC;3000000
